City,Airport,IATA Siglum,URL,Latitude,Longitude
Bahamas,Andros Town International Airport,ASD/MYAF,https://www.flightradar24.com/data/airports/asd,24.69828,-77.795601
Bahamas,Arthur's Town Airport,ATC/MYCA,https://www.flightradar24.com/data/airports/atc,24.628611,-75.671387
Bahamas,Cat Cays Airport,CXY/MYCC,https://www.flightradar24.com/data/airports/cxy,25.6,-79.266998
Bahamas,Chub Cay International Airport,CCZ/MYBC,https://www.flightradar24.com/data/airports/ccz,25.417101,-77.880798
Bahamas,Crooked Island Colonel Hill Airport,CRI/MYCI,https://www.flightradar24.com/data/airports/cri,22.75,-74.150002
Bahamas,Deadman's Cay Airport,LGI/MYLD,https://www.flightradar24.com/data/airports/lgi,23.17901,-75.093498
Bahamas,Freeport Grand Bahama International Airport,FPO/MYGF,https://www.flightradar24.com/data/airports/fpo,26.55868,-78.695503
Bahamas,George Town Exuma International Airport,GGT/MYEF,https://www.flightradar24.com/data/airports/ggt,23.56263,-75.877899
Bahamas,Governor's Harbour Airport,GHB/MYEM,https://www.flightradar24.com/data/airports/ghb,25.2847,-76.331001
Bahamas,Great Harbour Cay Airport,GHC/MYBG,https://www.flightradar24.com/data/airports/ghc,25.7383,-77.840103
Bahamas,Inagua Matthew Town Airport,IGA/MYIG,https://www.flightradar24.com/data/airports/iga,20.975,-73.666801
Bahamas,Marsh Harbour Airport,MHH/MYAM,https://www.flightradar24.com/data/airports/mhh,26.5114,-77.083397
Bahamas,Mayaguana Airport,MYG/MYMM,https://www.flightradar24.com/data/airports/myg,22.37952,-73.013496
Bahamas,Nassau Lynden Pindling International Airport,NAS/MYNN,https://www.flightradar24.com/data/airports/nas,25.03895,-77.466202
Bahamas,New Bight Airport,TBI/MYCB,https://www.flightradar24.com/data/airports/tbi,24.315001,-75.453613
Bahamas,Norman's Cay Airport,NMC/MYEN,https://www.flightradar24.com/data/airports/nmc,24.594299,-76.820198
Bahamas,North Eleuthera Airport,ELH/MYEH,https://www.flightradar24.com/data/airports/elh,25.474859,-76.683403
Bahamas,Rock Sound International Airport,RSD/MYER,https://www.flightradar24.com/data/airports/rsd,24.891701,-76.177696
Bahamas,San Andros Airport,SAQ/MYAN,https://www.flightradar24.com/data/airports/saq,25.05381,-78.048897
Bahamas,San Salvador Airport,ZSA/MYSM,https://www.flightradar24.com/data/airports/zsa,24.063271,-74.523903
Bahamas,South Bimini Airport,BIM/MYBS,https://www.flightradar24.com/data/airports/bim,25.699881,-79.264603
Bahamas,Spring Point Airport,AXP/MYAP,https://www.flightradar24.com/data/airports/axp,22.44182,-73.970802
Bahamas,Staniel Cay Airport,TYM/MYES,https://www.flightradar24.com/data/airports/tym,24.1691,-76.439102
Bahamas,Stella Maris Airport,SML/MYLS,https://www.flightradar24.com/data/airports/sml,23.58144,-75.270401
Bahamas,Treasure Cay Airport,TCB/MYAT,https://www.flightradar24.com/data/airports/tcb,26.745331,-77.391197
Bahamas,West End Airport,WTD/MYGW,https://www.flightradar24.com/data/airports/wtd,26.68527,-78.974998
Benin,Cotonou Cadjehoun Airport,COO/DBBB,https://www.flightradar24.com/data/airports/coo,6.357228,2.384353
Cayman Islands,Cayman Brac Charles Kirkconnell International Airport,CYB/MWCB,https://www.flightradar24.com/data/airports/cyb,19.686979,-79.882698
Cayman Islands,George Town Owen Roberts International Airport,GCM/MWCR,https://www.flightradar24.com/data/airports/gcm,19.29277,-81.357697
Cayman Islands,Little Cayman Airport,LYB/MWCL,https://www.flightradar24.com/data/airports/lyb,19.660271,-80.090202
Ethiopia,Addis Ababa Bole Airport,ADD/HAAB,https://www.flightradar24.com/data/airports/add,8.977889,38.799309
Ethiopia,Arba Minch Airport,AMH/HAAM,https://www.flightradar24.com/data/airports/amh,6.039389,37.59045
Ethiopia,Asosa Airport,ASO/HASO,https://www.flightradar24.com/data/airports/aso,10.01855,34.58625
Ethiopia,Awasa Airport,AWA/HALA,https://www.flightradar24.com/data/airports/awa,7.095,38.398335
Ethiopia,Axum Airport,AXU/HAAX,https://www.flightradar24.com/data/airports/axu,14.14675,38.772831
Ethiopia,Bahir Dar Airport,BJR/HABD,https://www.flightradar24.com/data/airports/bjr,11.60807,37.32164
Ethiopia,Dire Dawa International Airport,DIR/HADR,https://www.flightradar24.com/data/airports/dir,9.6247,41.854198
Ethiopia,Gambela Airport,GMB/HAGM,https://www.flightradar24.com/data/airports/gmb,8.128764,34.563129
Ethiopia,Gondar Airport,GDQ/HAGN,https://www.flightradar24.com/data/airports/gdq,12.5199,37.43404
Ethiopia,Jijiga Airport,JIJ/HAJJ,https://www.flightradar24.com/data/airports/jij,9.359722,42.787498
Ethiopia,Jimma Aba Segud Airport,JIM/HAJM,https://www.flightradar24.com/data/airports/jim,7.666094,36.816631
Ethiopia,Lalibela Airport,LLI/HALL,https://www.flightradar24.com/data/airports/lli,11.97501,38.979961
Ethiopia,Mekele Alula Aba Nega Airport,MQX/HAMK,https://www.flightradar24.com/data/airports/mqx,13.46736,39.533459
Afghanistan,Bost Airport,BST/OABT,https://www.flightradar24.com/data/airports/bst,31.55901,64.36409
Afghanistan,Chaghcharan Airport,CCN/OACC,https://www.flightradar24.com/data/airports/ccn,34.526661,65.27166
Afghanistan,Farah Airport,FAH/OAFR,https://www.flightradar24.com/data/airports/fah,32.365601,62.165138
Afghanistan,Herat International Airport,HEA/OAHR,https://www.flightradar24.com/data/airports/hea,34.209999,62.228329
Afghanistan,Kabul International Airport,KBL/OAKB,https://www.flightradar24.com/data/airports/kbl,34.565842,69.21241
Afghanistan,Kandahar Airport,KDH/OAKN,https://www.flightradar24.com/data/airports/kdh,31.51363,65.861053
Afghanistan,Mazar-I-Sharif International Airport,MZR/OAMS,https://www.flightradar24.com/data/airports/mzr,36.706909,67.209671
Afghanistan,Tarinkot Airport,TII/OATN,https://www.flightradar24.com/data/airports/tii,32.866669,65.633331
Afghanistan,Zaranj Airport,ZAJ/OAZJ,https://www.flightradar24.com/data/airports/zaj,30.96916,61.86702
Vietnam,Buon Ma Thuot Airport,BMV/VVBM,https://www.flightradar24.com/data/airports/bmv,12.66831,108.120201
Vietnam,Ca Mau Airport,CAH/VVCM,https://www.flightradar24.com/data/airports/cah,9.177667,105.17778
Vietnam,Can Tho International Airport,VCA/VVCT,https://www.flightradar24.com/data/airports/vca,10.08,105.709999
Vietnam,Chu Lai International Airport,VCL/VVCA,https://www.flightradar24.com/data/airports/vcl,15.4033,108.706001
Vietnam,Con Dao Airport,VCS/VVCS,https://www.flightradar24.com/data/airports/vcs,8.7325,106.628891
Vietnam,Da Lat Lien Khuong Airport,DLI/VVDL,https://www.flightradar24.com/data/airports/dli,11.75056,108.373611
Vietnam,Da Nang International Airport,DAD/VVDN,https://www.flightradar24.com/data/airports/dad,16.043909,108.199303
Mauritania,Nouadhibou International Airport,NDB/GQPP,https://www.flightradar24.com/data/airports/ndb,20.93306,-17.0299
Mauritania,Nouakchott Oumtounsy International Airport,NKC/GQNO,https://www.flightradar24.com/data/airports/nkc,18.306103,-15.964665
Mauritania,Zouerate Tazadit Airport,OUZ/GQPZ,https://www.flightradar24.com/data/airports/ouz,22.75638,-12.4836
Vietnam,Dien Bien Phu Airport,DIN/VVDB,https://www.flightradar24.com/data/airports/din,21.397499,103.008003
Vietnam,Dong Hoi Airport,VDH/VVDH,https://www.flightradar24.com/data/airports/vdh,17.514999,106.590553
Vietnam,Haiphong Cat Bi International Airport,HPH/VVCI,https://www.flightradar24.com/data/airports/hph,20.823315,106.727325
Vietnam,Hanoi Noi Bai International Airport,HAN/VVNB,https://www.flightradar24.com/data/airports/han,21.221189,105.807098
Vietnam,Ho Chi Minh City International Airport,SGN/VVTS,https://www.flightradar24.com/data/airports/sgn,10.81879,106.651802
Vietnam,Hue Phu Bai International Airport,HUI/VVPB,https://www.flightradar24.com/data/airports/hui,16.401489,107.702599
Vietnam,Nha Trang Cam Ranh International Airport,CXR/VVCR,https://www.flightradar24.com/data/airports/cxr,11.993611,109.224998
Vietnam,Phu Quoc International Airport,PQC/VVPQ,https://www.flightradar24.com/data/airports/pqc,10.171667,103.991112
Nigeria,Abuja Nnamdi Azikiwe International Airport,ABV/DNAA,https://www.flightradar24.com/data/airports/abv,9.006792,7.263172
